Disaster_ID,Disaster_Type,Country,Region,Disaster_Date,Year,Quarter,Month,Month_Num,Severity_Level,Casualties,Economic_Loss_Million_USD,Response_Time_Hours,Aid_Amount_Million_USD,Recovery_Duration_Days,Efficiency_Score,Area_Affected_SqKm,People_Displaced,Response_Agency
DIS0085,Earthquake,Afghanistan,Middle East,2020-06-22,2020,Q2,June,6,6.6,10589,333.65,56,354.08,145,98.4,686,131947,Local Emergency Services
DIS0277,Wildfire,China,Asia-Pacific,2020-06-26,2020,Q2,June,6,6.6,2439,686.47,36,579.27,102,100.0,1652,40539,Military Forces
DIS0294,Drought,Philippines,Asia-Pacific,2020-06-27,2020,Q2,June,6,5.9,3195,333.55,104,301.81,123,93.0,1881,61298,WHO
DIS0204,Earthquake,Japan,Asia-Pacific,2020-06-29,2020,Q2,June,6,5.5,11897,609.32,167,252.07,137,74.8,460,237433,UNICEF
DIS0232,Earthquake,Argentina,Americas,2020-07-05,2020,Q3,July,7,6.0,12639,684.56,166,374.3,176,75.7,1539,104564,National Disaster Agency
DIS0052,Industrial Accident,Kenya,Africa,2020-07-09,2020,Q3,July,7,5.2,1240,88.21,44,149.07,102,100.0,2415,14368,Military Forces
DIS0131,Industrial Accident,United States,Americas,2020-07-13,2020,Q3,July,7,5.2,539,172.35,122,99.58,136,69.7,1547,10206,Local Emergency Services
DIS0155,Wildfire,Egypt,Africa,2020-07-14,2020,Q3,July,7,4.5,1891,384.18,168,358.36,79,71.6,1344,11046,Red Cross
DIS0095,Wildfire,Portugal,Europe,2020-07-16,2020,Q3,July,7,8.0,1227,835.54,27,601.92,142,100.0,2295,18317,WHO
DIS0442,Hurricane,Brazil,Americas,2020-07-17,2020,Q3,July,7,2.2,1320,343.64,30,134.37,51,100.0,152,8734,NGO Coalition
DIS0290,Landslide,Haiti,Americas,2020-08-10,2020,Q3,August,8,6.6,935,150.64,50,85.72,141,86.8,1881,11964,Local Emergency Services
DIS0004,Flood,Haiti,Americas,2020-08-11,2020,Q3,August,8,7.3,4511,457.54,95,239.96,127,88.7,2670,68807,UN OCHA
DIS0382,Earthquake,Bangladesh,Asia-Pacific,2020-08-21,2020,Q3,August,8,6.7,10934,763.61,105,474.78,139,87.6,1766,85541,Local Emergency Services
DIS0013,Industrial Accident,Greece,Europe,2020-09-01,2020,Q3,September,9,3.4,917,70.62,148,89.51,73,83.2,792,5882,Local Emergency Services
DIS0199,Industrial Accident,India,Asia-Pacific,2020-09-02,2020,Q3,September,9,4.1,1034,233.61,25,103.0,59,100.0,967,19060,Military Forces
DIS0060,Wildfire,Somalia,Africa,2020-09-05,2020,Q3,September,9,5.9,1280,143.75,123,189.28,153,88.2,2057,22158,WHO
DIS0493,Hurricane,Peru,Americas,2020-09-17,2020,Q3,September,9,2.7,4074,263.87,79,242.16,46,93.4,276,75516,Military Forces
DIS0301,Wildfire,Ethiopia,Africa,2020-09-18,2020,Q3,September,9,7.4,1224,765.86,160,469.37,190,63.5,631,23668,Military Forces
DIS0407,Landslide,Syria,Middle East,2020-09-24,2020,Q3,September,9,6.7,393,249.0,163,255.64,177,66.9,1803,2002,WHO
DIS0005,Industrial Accident,Syria,Middle East,2020-09-29,2020,Q3,September,9,2.8,787,73.43,85,104.28,78,94.3,180,7658,National Disaster Agency
DIS0144,Earthquake,Egypt,Africa,2020-09-29,2020,Q3,September,9,8.0,9618,739.76,16,345.58,184,97.9,3699,131205,FEMA
DIS0373,Cyclone,Haiti,Americas,2020-09-29,2020,Q3,September,9,2.5,1969,277.72,14,123.89,43,100.0,244,11433,Local Emergency Services
DIS0001,Drought,Japan,Asia-Pacific,2020-09-30,2020,Q3,September,9,5.1,3395,73.17,110,55.89,77,79.9,1636,45556,NGO Coalition
DIS0098,Hurricane,Argentina,Americas,2020-10-21,2020,Q4,October,10,1.2,1583,226.36,28,181.97,26,97.9,105,11721,Military Forces
DIS0046,Drought,Mozambique,Africa,2020-10-26,2020,Q4,October,10,5.2,3166,83.08,139,162.86,133,80.7,1988,28960,NGO Coalition
DIS0365,Drought,India,Asia-Pacific,2020-11-08,2020,Q4,November,11,8.0,2763,300.0,3,169.42,116,100.0,2448,53606,WHO
DIS0215,Tsunami,Mexico,Americas,2020-11-17,2020,Q4,November,11,8.5,31992,996.09,109,1027.86,211,89.4,1873,421985,UN OCHA
DIS0298,Industrial Accident,Greece,Europe,2020-11-21,2020,Q4,November,11,6.4,1824,180.06,115,270.98,138,98.0,2501,35419,Military Forces
DIS0363,Tsunami,Egypt,Africa,2020-11-29,2020,Q4,November,11,7.4,37099,1668.12,159,1157.92,160,75.2,2010,285610,UNICEF
DIS0437,Earthquake,UAE,Middle East,2020-11-29,2020,Q4,November,11,5.7,2670,470.99,36,300.94,69,98.2,1916,51604,Red Cross
DIS0315,Volcano,Turkey,Europe,2020-11-30,2020,Q4,November,11,4.6,1327,408.69,36,253.51,82,90.9,2138,25484,Military Forces
DIS0178,Landslide,Italy,Europe,2020-12-12,2020,Q4,December,12,4.4,1732,175.77,32,201.88,64,100.0,1384,17769,Local Emergency Services
DIS0021,Hurricane,Greece,Europe,2020-12-19,2020,Q4,December,12,1.5,1108,133.29,74,108.24,48,88.6,503,9927,Military Forces
DIS0117,Cyclone,Japan,Asia-Pacific,2020-12-20,2020,Q4,December,12,4.0,5890,490.87,9,341.85,74,100.0,1921,72118,Local Emergency Services
DIS0335,Hurricane,Spain,Europe,2020-12-21,2020,Q4,December,12,2.5,3299,285.15,78,119.03,54,96.0,951,52301,Military Forces
DIS0043,Cyclone,Sudan,Africa,2021-01-04,2021,Q1,January,1,3.0,1752,215.52,117,122.97,74,82.9,661,9514,FEMA
DIS0201,Landslide,Turkey,Europe,2021-01-18,2021,Q1,January,1,3.9,1428,143.32,151,80.87,70,71.5,746,9726,FEMA
DIS0393,Cyclone,United Kingdom,Europe,2021-01-21,2021,Q1,January,1,3.0,1863,204.9,151,141.64,100,79.4,1141,25766,UNICEF
DIS0034,Wildfire,Lebanon,Middle East,2021-01-29,2021,Q1,January,1,5.2,2084,245.29,83,291.94,72,91.1,1156,15196,UNICEF
DIS0389,Drought,Argentina,Americas,2021-02-01,2021,Q1,February,2,8.3,838,333.59,153,371.39,191,77.7,1070,14026,UNICEF
DIS0188,Wildfire,Spain,Europe,2021-02-08,2021,Q1,February,2,6.2,1239,606.96,8,591.15,116,100.0,1754,15664,Local Emergency Services
DIS0444,Hurricane,Philippines,Asia-Pacific,2021-02-10,2021,Q1,February,2,4.8,4154,1266.17,158,606.29,121,61.5,1488,21641,UNICEF
DIS0206,Drought,Brazil,Americas,2021-02-20,2021,Q1,February,2,6.2,1317,262.66,129,211.58,136,72.6,1090,9296,UNICEF
DIS0218,Drought,Jordan,Middle East,2021-02-27,2021,Q1,February,2,5.5,1145,212.24,127,126.37,107,77.2,1004,17095,Military Forces
DIS0286,Earthquake,UAE,Middle East,2021-03-07,2021,Q1,March,3,8.8,7215,1174.03,45,582.7,145,89.6,2747,119136,NGO Coalition
DIS0048,Cyclone,Japan,Asia-Pacific,2021-03-10,2021,Q1,March,3,3.4,3108,594.4,66,572.74,70,100.0,783,18993,Red Cross
DIS0111,Cyclone,Ethiopia,Africa,2021-03-15,2021,Q1,March,3,4.1,7270,198.42,20,160.18,93,100.0,366,110714,FEMA
DIS0132,Wildfire,Madagascar,Africa,2021-03-22,2021,Q1,March,3,4.6,1574,392.06,61,300.65,104,100.0,2120,12003,WHO
DIS0063,Wildfire,Iraq,Middle East,2021-03-23,2021,Q1,March,3,8.0,3452,942.67,164,796.5,120,67.0,1478,18758,FEMA
DIS0383,Hurricane,United Kingdom,Europe,2021-03-27,2021,Q1,March,3,5.0,7133,264.5,167,112.79,140,66.4,1232,141613,UN OCHA
DIS0175,Landslide,Syria,Middle East,2021-03-29,2021,Q1,March,3,3.6,896,110.62,93,159.08,79,91.8,801,12027,Military Forces
DIS0272,Flood,Norway,Europe,2021-04-02,2021,Q2,April,4,6.9,3310,249.19,114,204.76,172,75.8,830,27466,Local Emergency Services
DIS0495,Industrial Accident,UAE,Middle East,2021-04-06,2021,Q2,April,4,2.2,684,108.77,158,131.56,93,87.9,339,4042,Red Cross
DIS0316,Volcano,Italy,Europe,2021-04-14,2021,Q2,April,4,6.4,8344,321.24,107,372.55,124,86.9,2379,122572,Local Emergency Services
DIS0264,Wildfire,Yemen,Middle East,2021-04-19,2021,Q2,April,4,5.2,2538,201.23,46,226.19,69,96.7,913,22749,WHO
DIS0396,Drought,Indonesia,Asia-Pacific,2021-04-21,2021,Q2,April,4,6.3,4823,353.65,72,365.31,137,100.0,2498,42732,UN OCHA
DIS0017,Wildfire,South Africa,Africa,2021-04-30,2021,Q2,April,4,4.1,806,106.99,82,63.18,91,89.4,1778,5933,NGO Coalition
DIS0469,Wildfire,Greece,Europe,2021-05-03,2021,Q2,May,5,4.1,2201,340.85,166,229.93,69,77.9,1723,42055,Military Forces
DIS0273,Hurricane,Afghanistan,Middle East,2021-05-05,2021,Q2,May,5,3.7,7123,1070.59,4,723.51,64,100.0,193,99364,NGO Coalition
DIS0036,Tsunami,Nigeria,Africa,2021-05-08,2021,Q2,May,5,8.4,36912,1240.21,141,1098.29,220,79.5,1451,453450,Local Emergency Services
DIS0334,Earthquake,Haiti,Americas,2021-05-15,2021,Q2,May,5,8.9,7098,246.64,72,361.57,164,100.0,2734,45528,Military Forces
DIS0377,Flood,Norway,Europe,2021-05-22,2021,Q2,May,5,5.7,3691,187.49,64,189.57,146,97.6,1158,63517,Local Emergency Services
DIS0166,Hurricane,Madagascar,Africa,2021-05-25,2021,Q2,May,5,2.0,3131,494.54,20,304.39,40,100.0,580,59026,Local Emergency Services
DIS0349,Volcano,United Kingdom,Europe,2021-05-27,2021,Q2,May,5,5.8,8372,178.62,50,107.26,82,100.0,1887,75372,UNICEF
DIS0049,Cyclone,Brazil,Americas,2021-05-29,2021,Q2,May,5,2.3,1833,332.73,157,249.08,80,79.4,508,34144,National Disaster Agency
DIS0115,Hurricane,Pakistan,Asia-Pacific,2021-05-30,2021,Q2,May,5,1.7,1503,232.06,134,222.68,73,77.5,570,19933,WHO
DIS0354,Volcano,Portugal,Europe,2021-06-01,2021,Q2,June,6,7.1,4027,386.7,158,450.15,174,87.9,1836,59162,UN OCHA
DIS0345,Industrial Accident,India,Asia-Pacific,2021-06-02,2021,Q2,June,6,3.7,491,50.5,92,63.9,70,100.0,1814,4486,Red Cross
DIS0174,Wildfire,Greece,Europe,2021-06-04,2021,Q2,June,6,3.6,851,255.9,109,215.71,88,85.2,968,11114,WHO
DIS0097,Wildfire,Ecuador,Americas,2021-06-21,2021,Q2,June,6,7.8,3257,442.92,148,533.44,158,78.5,1730,42054,WHO
DIS0094,Flood,Argentina,Americas,2021-06-22,2021,Q2,June,6,5.8,5211,440.74,136,198.24,142,74.5,337,50197,UNICEF
DIS0486,Volcano,Portugal,Europe,2021-06-24,2021,Q2,June,6,7.6,7689,575.57,96,442.07,146,96.4,2009,103385,Local Emergency Services
DIS0197,Drought,Nepal,Asia-Pacific,2021-06-26,2021,Q2,June,6,5.6,2456,159.3,76,173.17,94,100.0,1449,34077,Military Forces
DIS0441,Tsunami,Nepal,Asia-Pacific,2021-06-30,2021,Q2,June,6,8.1,10166,1765.36,154,1183.15,226,66.8,1515,164352,UN OCHA
DIS0081,Cyclone,Bangladesh,Asia-Pacific,2021-07-03,2021,Q3,July,7,3.1,3526,164.95,125,98.62,57,86.1,667,57964,UNICEF
DIS0263,Volcano,Sudan,Africa,2021-07-04,2021,Q3,July,7,7.9,2140,278.63,115,348.43,203,95.5,2697,34938,NGO Coalition
DIS0186,Flood,Philippines,Asia-Pacific,2021-07-07,2021,Q3,July,7,4.8,2591,350.45,36,305.79,98,95.9,1456,36675,WHO
DIS0394,Hurricane,Saudi Arabia,Middle East,2021-07-07,2021,Q3,July,7,3.2,4526,169.57,27,143.68,66,100.0,1204,39731,Red Cross
DIS0019,Wildfire,Germany,Europe,2021-07-10,2021,Q3,July,7,4.2,1190,276.03,20,110.02,80,100.0,398,15546,NGO Coalition
DIS0006,Cyclone,India,Asia-Pacific,2021-07-12,2021,Q3,July,7,2.6,2913,133.72,37,83.2,53,95.8,813,53795,Local Emergency Services
DIS0367,Cyclone,Afghanistan,Middle East,2021-07-16,2021,Q3,July,7,3.7,1374,491.45,92,192.1,61,90.8,749,14603,NGO Coalition
DIS0427,Earthquake,Mexico,Americas,2021-07-20,2021,Q3,July,7,7.3,9548,350.85,145,359.86,172,90.4,850,111964,WHO
DIS0114,Hurricane,Iraq,Middle East,2021-07-22,2021,Q3,July,7,3.6,4144,490.06,143,384.38,70,87.0,880,77329,Red Cross
DIS0078,Flood,Kenya,Africa,2021-08-12,2021,Q3,August,8,6.0,1514,370.94,151,308.81,116,86.4,1732,17873,Local Emergency Services
DIS0412,Cyclone,Egypt,Africa,2021-08-28,2021,Q3,August,8,3.3,4722,212.88,30,138.24,43,100.0,1456,50208,UNICEF
DIS0038,Volcano,Bangladesh,Asia-Pacific,2021-09-02,2021,Q3,September,9,4.8,3222,200.87,109,134.0,72,74.4,1405,64435,FEMA
DIS0026,Volcano,India,Asia-Pacific,2021-09-06,2021,Q3,September,9,5.1,1570,245.95,132,187.83,154,80.8,2410,10566,National Disaster Agency
DIS0075,Wildfire,Yemen,Middle East,2021-09-07,2021,Q3,September,9,6.9,2710,329.32,39,417.09,126,100.0,686,48771,WHO
DIS0248,Hurricane,Indonesia,Asia-Pacific,2021-09-08,2021,Q3,September,9,2.4,2598,647.09,25,363.93,40,94.8,552,30781,Local Emergency Services
DIS0265,Earthquake,Afghanistan,Middle East,2021-09-15,2021,Q3,September,9,6.9,16241,305.07,84,291.6,159,96.8,2962,154570,NGO Coalition
DIS0035,Volcano,Australia,Asia-Pacific,2021-09-17,2021,Q3,September,9,6.2,4629,560.34,101,576.83,133,95.3,2700,76304,Local Emergency Services
DIS0125,Tsunami,Nigeria,Africa,2021-09-18,2021,Q3,September,9,8.0,39789,812.28,163,307.23,166,76.2,3218,662185,UNICEF
DIS0237,Volcano,Haiti,Americas,2021-09-19,2021,Q3,September,9,5.5,5615,505.9,122,204.61,130,78.6,1811,67847,UNICEF
DIS0205,Flood,South Africa,Africa,2021-09-20,2021,Q3,September,9,3.6,4222,99.36,148,95.94,108,79.2,800,48130,FEMA
DIS0158,Industrial Accident,Israel,Middle East,2021-09-20,2021,Q3,September,9,3.9,731,170.82,90,82.66,81,92.6,792,12087,Local Emergency Services
DIS0106,Earthquake,Turkey,Europe,2021-09-21,2021,Q3,September,9,6.1,12904,830.73,114,797.23,116,96.7,1667,160820,NGO Coalition
DIS0477,Earthquake,Iran,Middle East,2021-09-25,2021,Q3,September,9,8.7,11885,1301.45,155,1070.79,219,65.5,2410,127336,Local Emergency Services
DIS0088,Wildfire,Turkey,Europe,2021-09-26,2021,Q3,September,9,6.9,661,504.12,51,541.66,111,100.0,2887,11386,UNICEF
DIS0371,Flood,Thailand,Asia-Pacific,2021-09-27,2021,Q3,September,9,5.3,1496,384.06,81,153.63,125,89.5,765,11980,National Disaster Agency
DIS0100,Flood,China,Asia-Pacific,2021-10-05,2021,Q4,October,10,7.0,2302,586.63,122,521.46,105,88.4,1763,11691,UN OCHA
DIS0459,Cyclone,Iraq,Middle East,2021-10-11,2021,Q4,October,10,2.8,3473,283.61,55,172.65,40,100.0,775,32988,NGO Coalition
DIS0332,Industrial Accident,Israel,Middle East,2021-10-14,2021,Q4,October,10,5.3,1134,375.48,82,303.36,144,99.5,1248,16441,FEMA
DIS0403,Earthquake,China,Asia-Pacific,2021-10-15,2021,Q4,October,10,8.2,3253,421.97,135,336.95,187,87.3,959,44534,UN OCHA
DIS0062,Drought,Nepal,Asia-Pacific,2021-10-18,2021,Q4,October,10,7.1,2483,373.38,138,272.12,128,82.4,2781,44906,Red Cross
DIS0449,Wildfire,China,Asia-Pacific,2021-10-19,2021,Q4,October,10,4.0,2038,129.1,110,153.71,76,95.9,1247,18534,Local Emergency Services
DIS0123,Tsunami,Australia,Asia-Pacific,2021-10-20,2021,Q4,October,10,7.5,16612,598.59,132,404.86,102,69.5,2783,283392,NGO Coalition
DIS0193,Landslide,Indonesia,Asia-Pacific,2021-11-21,2021,Q4,November,11,5.1,1712,70.18,34,129.11,116,100.0,525,31669,FEMA
DIS0297,Tsunami,UAE,Middle East,2021-11-24,2021,Q4,November,11,9.3,16993,1217.85,105,905.4,146,84.3,910,103415,National Disaster Agency
DIS0044,Wildfire,Peru,Americas,2021-12-24,2021,Q4,December,12,7.0,1650,529.05,134,581.3,102,89.0,1889,27014,Military Forces
DIS0500,Tsunami,Mozambique,Africa,2021-12-26,2021,Q4,December,12,8.5,34371,794.74,40,783.41,190,100.0,823,197850,Military Forces
DIS0481,Landslide,Nigeria,Africa,2021-12-31,2021,Q4,December,12,7.0,1978,181.91,39,120.46,87,100.0,919,14883,NGO Coalition
DIS0430,Landslide,Yemen,Middle East,2022-01-03,2022,Q1,January,1,3.4,313,99.89,58,129.07,82,99.5,297,5553,UN OCHA
DIS0361,Cyclone,Peru,Americas,2022-01-15,2022,Q1,January,1,4.8,1902,376.43,99,374.24,121,98.2,380,22942,UN OCHA
DIS0184,Flood,Haiti,Americas,2022-01-16,2022,Q1,January,1,4.3,2472,81.2,162,80.81,123,71.0,1483,38453,Red Cross
DIS0492,Cyclone,Poland,Europe,2022-01-17,2022,Q1,January,1,4.1,7246,617.85,24,262.48,47,92.9,234,141715,Red Cross
DIS0291,Volcano,Canada,Americas,2022-01-23,2022,Q1,January,1,4.4,3765,174.65,139,145.54,94,74.9,1567,61462,Local Emergency Services
DIS0010,Flood,Nigeria,Africa,2022-01-26,2022,Q1,January,1,7.4,8093,243.9,63,324.03,180,96.6,1988,48867,NGO Coalition
DIS0458,Drought,Argentina,Americas,2022-01-28,2022,Q1,January,1,8.8,1940,457.77,139,271.54,146,71.7,2711,33113,UN OCHA
DIS0340,Volcano,Australia,Asia-Pacific,2022-02-05,2022,Q1,February,2,5.4,3182,458.17,45,505.36,107,100.0,1344,22869,Red Cross
DIS0420,Volcano,Philippines,Asia-Pacific,2022-02-06,2022,Q1,February,2,5.9,1655,193.73,145,225.36,136,88.4,662,16589,NGO Coalition
DIS0110,Industrial Accident,Syria,Middle East,2022-02-12,2022,Q1,February,2,4.0,846,290.13,8,274.42,67,100.0,1211,7551,National Disaster Agency
DIS0483,Volcano,Greece,Europe,2022-03-11,2022,Q1,March,3,6.4,9418,198.11,22,187.88,127,100.0,2129,85136,Red Cross
DIS0064,Tsunami,Bangladesh,Asia-Pacific,2022-03-16,2022,Q1,March,3,6.9,11874,1056.98,48,480.37,86,100.0,2269,102264,WHO
DIS0220,Tsunami,South Africa,Africa,2022-04-12,2022,Q2,April,4,6.7,17330,857.25,69,431.93,105,82.4,2602,260158,UN OCHA
DIS0337,Earthquake,Argentina,Americas,2022-04-16,2022,Q2,April,4,5.2,7784,480.95,40,290.19,108,92.6,1836,155372,Military Forces
DIS0468,Industrial Accident,Haiti,Americas,2022-04-25,2022,Q2,April,4,3.5,1114,241.32,33,193.31,52,100.0,187,21624,National Disaster Agency
DIS0447,Flood,Portugal,Europe,2022-04-26,2022,Q2,April,4,4.4,3784,292.73,115,165.82,92,90.8,1067,67550,Military Forces
DIS0344,Drought,Japan,Asia-Pacific,2022-05-03,2022,Q2,May,5,5.2,1775,287.01,126,320.65,117,80.5,1431,21068,Red Cross
DIS0235,Volcano,United Kingdom,Europe,2022-05-10,2022,Q2,May,5,6.9,7037,613.42,89,552.99,107,93.0,2782,130873,FEMA
DIS0397,Volcano,Italy,Europe,2022-05-11,2022,Q2,May,5,5.3,1545,175.26,19,167.36,120,100.0,690,19128,WHO
DIS0368,Cyclone,Argentina,Americas,2022-05-15,2022,Q2,May,5,2.6,1228,353.05,82,294.03,51,84.7,1156,12984,National Disaster Agency
DIS0142,Industrial Accident,Indonesia,Asia-Pacific,2022-05-29,2022,Q2,May,5,4.6,1002,297.51,7,345.53,75,100.0,1107,10710,UNICEF
DIS0300,Flood,Haiti,Americas,2022-06-23,2022,Q2,June,6,6.4,6717,362.18,47,287.21,103,100.0,1094,129011,UNICEF
DIS0460,Volcano,France,Europe,2022-07-06,2022,Q3,July,7,5.0,4761,166.51,6,180.35,84,100.0,1373,70996,Military Forces
DIS0226,Drought,Indonesia,Asia-Pacific,2022-07-09,2022,Q3,July,7,4.7,2622,56.11,86,107.22,65,99.0,803,27758,FEMA
DIS0450,Cyclone,Portugal,Europe,2022-07-15,2022,Q3,July,7,5.0,5037,726.0,29,308.36,88,94.1,2370,27430,Red Cross
DIS0279,Cyclone,Thailand,Asia-Pacific,2022-07-18,2022,Q3,July,7,4.3,2248,484.78,141,477.4,106,84.3,502,24475,National Disaster Agency
DIS0087,Flood,Mozambique,Africa,2022-07-18,2022,Q3,July,7,3.1,1943,239.95,94,106.55,90,79.1,976,24985,Local Emergency Services
DIS0351,Earthquake,Chile,Americas,2022-08-01,2022,Q3,August,8,8.1,2873,1164.58,58,988.86,199,100.0,646,54318,Military Forces
DIS0385,Drought,Ecuador,Americas,2022-08-10,2022,Q3,August,8,8.6,3979,506.64,147,400.37,158,78.5,4151,24673,NGO Coalition
DIS0055,Tsunami,Indonesia,Asia-Pacific,2022-08-14,2022,Q3,August,8,8.1,15442,1641.98,142,580.91,116,66.5,827,256155,NGO Coalition
DIS0462,Wildfire,Greece,Europe,2022-08-17,2022,Q3,August,8,4.3,865,196.27,155,124.67,86,65.6,268,14666,National Disaster Agency
DIS0056,Landslide,Pakistan,Asia-Pacific,2022-08-20,2022,Q3,August,8,3.2,1101,99.05,15,68.83,58,100.0,790,17036,UN OCHA
DIS0362,Industrial Accident,Turkey,Europe,2022-08-22,2022,Q3,August,8,4.6,801,88.92,163,111.69,79,84.5,1481,13475,National Disaster Agency
DIS0311,Landslide,Jordan,Middle East,2022-08-23,2022,Q3,August,8,3.7,1237,128.73,66,175.21,87,95.9,462,8096,UN OCHA
DIS0181,Drought,Argentina,Americas,2022-08-24,2022,Q3,August,8,5.9,820,177.84,73,212.06,145,99.6,1590,11258,UN OCHA
DIS0408,Drought,Thailand,Asia-Pacific,2022-09-01,2022,Q3,September,9,7.5,4983,334.63,54,187.0,113,94.5,1182,37961,Red Cross
DIS0196,Wildfire,Canada,Americas,2022-09-01,2022,Q3,September,9,7.6,1504,586.37,32,443.93,171,97.3,3130,29660,Local Emergency Services
DIS0146,Tsunami,Zimbabwe,Africa,2022-09-02,2022,Q3,September,9,6.8,13140,1298.01,123,637.53,112,85.2,781,156962,Red Cross
DIS0305,Wildfire,Sudan,Africa,2022-09-13,2022,Q3,September,9,6.5,1764,311.76,48,283.98,159,100.0,2706,27892,UNICEF
DIS0141,Hurricane,South Africa,Africa,2022-09-18,2022,Q3,September,9,2.5,4880,668.51,98,377.5,72,88.4,731,72238,FEMA
DIS0029,Wildfire,Syria,Middle East,2022-09-19,2022,Q3,September,9,6.3,1506,513.77,79,347.81,151,87.4,910,25280,FEMA
DIS0244,Drought,United States,Americas,2022-09-20,2022,Q3,September,9,7.3,4024,300.32,37,246.05,166,100.0,2394,37184,UN OCHA
DIS0317,Flood,Haiti,Americas,2022-09-26,2022,Q3,September,9,6.1,4559,221.74,138,269.93,123,92.5,805,42598,Military Forces
DIS0466,Wildfire,Israel,Middle East,2022-09-29,2022,Q3,September,9,4.1,557,479.67,114,306.12,118,73.5,1189,8630,UN OCHA
DIS0223,Earthquake,Brazil,Americas,2022-10-01,2022,Q4,October,10,5.3,9661,793.19,162,349.54,133,64.4,1999,165301,UN OCHA
DIS0022,Flood,Italy,Europe,2022-10-01,2022,Q4,October,10,7.1,1650,517.12,165,585.22,116,76.5,2609,22132,UN OCHA
DIS0135,Volcano,Argentina,Americas,2022-10-18,2022,Q4,October,10,6.1,1793,205.38,37,192.0,143,95.3,1357,20979,National Disaster Agency
DIS0028,Tsunami,Yemen,Middle East,2022-11-02,2022,Q4,November,11,5.3,18908,872.54,33,716.15,81,100.0,1239,208668,National Disaster Agency
DIS0475,Hurricane,Sudan,Africa,2022-11-02,2022,Q4,November,11,4.4,5892,1019.38,50,610.16,78,90.0,794,52597,Military Forces
DIS0461,Cyclone,Norway,Europe,2022-11-12,2022,Q4,November,11,4.8,6340,520.03,95,355.75,81,92.6,1893,111976,Local Emergency Services
DIS0156,Landslide,Mexico,Americas,2022-11-13,2022,Q4,November,11,5.6,861,229.91,12,149.71,122,100.0,1708,7806,UN OCHA
DIS0463,Industrial Accident,Madagascar,Africa,2022-11-22,2022,Q4,November,11,4.1,1045,92.09,36,55.27,91,96.0,1221,15324,Red Cross
DIS0212,Hurricane,Spain,Europe,2022-11-25,2022,Q4,November,11,4.2,8333,392.91,145,341.53,134,84.3,631,115280,WHO
DIS0325,Landslide,Italy,Europe,2022-11-28,2022,Q4,November,11,5.2,1566,76.01,49,112.72,84,100.0,2290,21892,NGO Coalition
DIS0497,Tsunami,Peru,Americas,2022-11-30,2022,Q4,November,11,6.0,9647,1346.08,121,555.2,107,81.6,2891,168785,FEMA
DIS0068,Drought,Japan,Asia-Pacific,2022-12-11,2022,Q4,December,12,4.2,1423,60.93,77,71.89,81,93.4,1696,25823,FEMA
DIS0372,Tsunami,Norway,Europe,2022-12-12,2022,Q4,December,12,8.0,14458,757.82,5,803.07,138,100.0,2353,191430,National Disaster Agency
DIS0176,Volcano,Madagascar,Africa,2022-12-24,2022,Q4,December,12,6.0,1665,522.84,58,305.51,93,95.7,754,19746,Military Forces
DIS0230,Cyclone,Portugal,Europe,2023-01-02,2023,Q1,January,1,2.5,4376,281.75,90,132.07,79,90.6,899,40591,Local Emergency Services
DIS0494,Earthquake,Madagascar,Africa,2023-01-16,2023,Q1,January,1,7.3,5906,939.37,102,358.77,92,84.1,2707,116302,Military Forces
DIS0159,Drought,Italy,Europe,2023-01-20,2023,Q1,January,1,6.5,2395,205.35,151,233.54,99,83.5,2659,37593,UN OCHA
DIS0271,Volcano,United Kingdom,Europe,2023-01-22,2023,Q1,January,1,6.5,4802,335.28,32,288.89,126,100.0,2536,66191,UN OCHA
DIS0484,Cyclone,Italy,Europe,2023-01-30,2023,Q1,January,1,3.0,4491,148.19,14,162.58,44,100.0,1154,59314,Local Emergency Services
DIS0287,Tsunami,Spain,Europe,2023-02-01,2023,Q1,February,2,7.7,7239,901.61,29,327.17,135,100.0,2756,125942,UN OCHA
DIS0074,Flood,France,Europe,2023-02-06,2023,Q1,February,2,3.5,1262,65.78,87,60.58,56,94.4,283,20794,UNICEF
DIS0426,Drought,Canada,Americas,2023-02-11,2023,Q1,February,2,8.8,4449,401.2,75,236.29,124,95.1,4022,75263,WHO
DIS0254,Wildfire,Jordan,Middle East,2023-02-12,2023,Q1,February,2,7.8,1669,792.94,118,473.7,186,82.9,2905,17440,Military Forces
DIS0353,Landslide,Iraq,Middle East,2023-02-15,2023,Q1,February,2,6.3,522,169.79,103,263.34,84,93.2,2484,10147,UNICEF
DIS0352,Tsunami,Lebanon,Middle East,2023-02-18,2023,Q1,February,2,9.0,22273,1454.27,99,1196.48,158,97.6,2766,290493,Red Cross
DIS0105,Flood,Brazil,Americas,2023-02-18,2023,Q1,February,2,3.2,1293,260.59,82,279.15,72,100.0,941,11378,UNICEF
DIS0476,Cyclone,Canada,Americas,2023-02-20,2023,Q1,February,2,2.3,2374,405.17,103,321.28,71,91.5,876,20994,UN OCHA
DIS0183,Flood,Japan,Asia-Pacific,2023-02-26,2023,Q1,February,2,3.1,3695,149.1,2,188.96,48,100.0,1423,67368,National Disaster Agency
DIS0065,Drought,Peru,Americas,2023-02-26,2023,Q1,February,2,5.3,885,291.82,141,157.05,114,71.4,1666,12906,Local Emergency Services
